HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-04-18 00:00;2024-04-18 02:00;DK1;660,520020;88,529999
2024-04-17 23:00;2024-04-18 01:00;DK1;652,239990;87,419998
2024-04-17 22:00;2024-04-18 00:00;DK1;685,150024;91,830002
2024-04-17 21:00;2024-04-17 23:00;DK1;655,109985;87,809998
2024-04-17 20:00;2024-04-17 22:00;DK1;738,890015;99,040001
2024-04-17 19:00;2024-04-17 21:00;DK1;970,320007;130,059998
2024-04-17 18:00;2024-04-17 20:00;DK1;1267,550049;169,899994
2024-04-17 17:00;2024-04-17 19:00;DK1;1193,089966;159,919998
2024-04-17 16:00;2024-04-17 18:00;DK1;857,739990;114,970001
2024-04-17 15:00;2024-04-17 17:00;DK1;648,320007;86,900002
2024-04-17 14:00;2024-04-17 16:00;DK1;596,840027;80,000000
2024-04-17 13:00;2024-04-17 15:00;DK1;574,690002;77,029999
2024-04-17 12:00;2024-04-17 14:00;DK1;579,760010;77,709999
2024-04-17 11:00;2024-04-17 13:00;DK1;602,960022;80,820000
2024-04-17 10:00;2024-04-17 12:00;DK1;619,080017;82,980003
2024-04-17 09:00;2024-04-17 11:00;DK1;596,099976;79,900002
2024-04-17 08:00;2024-04-17 10:00;DK1;625,940002;83,900002
2024-04-17 07:00;2024-04-17 09:00;DK1;780,520020;104,620003
2024-04-17 06:00;2024-04-17 08:00;DK1;1157,650024;155,169998
2024-04-17 05:00;2024-04-17 07:00;DK1;1268,069946;169,970001
2024-04-17 04:00;2024-04-17 06:00;DK1;816,109985;109,389999
2024-04-17 03:00;2024-04-17 05:00;DK1;624,669983;83,730003
2024-04-17 02:00;2024-04-17 04:00;DK1;618,929993;82,959999
2024-04-17 01:00;2024-04-17 03:00;DK1;614,750000;82,400002
2024-04-17 00:00;2024-04-17 02:00;DK1;606,919983;81,349998
2024-04-16 23:00;2024-04-17 01:00;DK1;625,489990;83,839996
2024-04-16 22:00;2024-04-17 00:00;DK1;625,489990;83,839996
2024-04-16 21:00;2024-04-16 23:00;DK1;627,409973;84,099998
2024-04-16 20:00;2024-04-16 22:00;DK1;672,169983;90,099998
2024-04-16 19:00;2024-04-16 21:00;DK1;779,309998;104,459999
2024-04-16 18:00;2024-04-16 20:00;DK1;928,960022;124,519997
2024-04-16 17:00;2024-04-16 19:00;DK1;850,400024;113,989998
2024-04-16 16:00;2024-04-16 18:00;DK1;693,210022;92,919998
2024-04-16 15:00;2024-04-16 17:00;DK1;594,359985;79,669998
2024-04-16 14:00;2024-04-16 16:00;DK1;385,470001;51,669998
2024-04-16 13:00;2024-04-16 15:00;DK1;362,049988;48,529999
2024-04-16 12:00;2024-04-16 14:00;DK1;313,929993;42,080002
2024-04-16 11:00;2024-04-16 13:00;DK1;300,049988;40,220001
2024-04-16 10:00;2024-04-16 12:00;DK1;298,410004;40,000000
2024-04-16 09:00;2024-04-16 11:00;DK1;318,109985;42,639999
2024-04-16 08:00;2024-04-16 10:00;DK1;380,700012;51,029999
2024-04-16 07:00;2024-04-16 09:00;DK1;483,500000;64,809998
2024-04-16 06:00;2024-04-16 08:00;DK1;554,000000;74,260002
2024-04-16 05:00;2024-04-16 07:00;DK1;554,000000;74,260002
2024-04-16 04:00;2024-04-16 06:00;DK1;384,880005;51,590000
2024-04-16 03:00;2024-04-16 05:00;DK1;270,209991;36,220001
2024-04-16 02:00;2024-04-16 04:00;DK1;130,330002;17,469999
2024-04-16 01:00;2024-04-16 03:00;DK1;5,450000;0,730000
2024-04-16 00:00;2024-04-16 02:00;DK1;1,040000;0,140000
2024-04-15 23:00;2024-04-16 01:00;DK1;0,300000;0,040000
2024-04-15 22:00;2024-04-16 00:00;DK1;15,070000;2,020000
2024-04-15 21:00;2024-04-15 23:00;DK1;254,940002;34,169998
2024-04-15 20:00;2024-04-15 22:00;DK1;401,170013;53,770000
2024-04-15 19:00;2024-04-15 21:00;DK1;494,730011;66,309998
2024-04-15 18:00;2024-04-15 20:00;DK1;574,630005;77,019997
2024-04-15 17:00;2024-04-15 19:00;DK1;588,809998;78,919998
2024-04-15 16:00;2024-04-15 18:00;DK1;516,289978;69,199997
2024-04-15 15:00;2024-04-15 17:00;DK1;345,440002;46,299999
2024-04-15 14:00;2024-04-15 16:00;DK1;59,610001;7,990000
2024-04-15 13:00;2024-04-15 15:00;DK1;58,189999;7,800000
2024-04-15 12:00;2024-04-15 14:00;DK1;96,690002;12,960000
2024-04-15 11:00;2024-04-15 13:00;DK1;236,809998;31,740000
2024-04-15 10:00;2024-04-15 12:00;DK1;329,390015;44,150002
2024-04-15 09:00;2024-04-15 11:00;DK1;425,269989;57,000000
2024-04-15 08:00;2024-04-15 10:00;DK1;568,809998;76,239998
2024-04-15 07:00;2024-04-15 09:00;DK1;683,109985;91,559998
2024-04-15 06:00;2024-04-15 08:00;DK1;1143,290039;153,240005
2024-04-15 05:00;2024-04-15 07:00;DK1;1261,989990;169,149994
2024-04-15 04:00;2024-04-15 06:00;DK1;863,440002;115,730003
2024-04-15 03:00;2024-04-15 05:00;DK1;647,150024;86,739998
2024-04-15 02:00;2024-04-15 04:00;DK1;561,280029;75,230003
2024-04-15 01:00;2024-04-15 03:00;DK1;491,220001;65,839996
2024-04-15 00:00;2024-04-15 02:00;DK1;526,359985;70,550003
2024-04-14 23:00;2024-04-15 01:00;DK1;437,730011;58,669998
2024-04-14 22:00;2024-04-15 00:00;DK1;410,640015;55,040001
2024-04-14 21:00;2024-04-14 23:00;DK1;594,549988;79,690002
